id,effectV2,effectV1
2523,Each day: caster wakes beneath a brine-soaked tangle of vines, Casterâ€™s boots may be sold for 10X their actual value
2524,Each day: caster wakes beneath a layer of fine white sand, Casterâ€™s boots must be fed daily or they refuse to walk
2525,Each day: caster wakes certain that he'll die before sunset, Casterâ€™s boots mutter obscenities with every step
2526,Each day: caster wakes certain that the world will end by sunset, Casterâ€™s boots protect the wearer from fear
2527,Each day: caster wakes completely deaf until he drinks something, Casterâ€™s boots provide Magic Resistance of 50%
2528,Each day: caster wakes dressed in a mummy's filthy rags, Casterâ€™s boots race off toward their place of manufacture
2529,Each day: caster wakes exhausted as if he just ran a marathon, Casterâ€™s boots resent being walked all over
2530,Each day: caster wakes in a pile of dry leaves, Casterâ€™s boots ring like church bells whenever he casts a spell
2531,Each day: caster wakes looking as if he's been beaten with clubs, Casterâ€™s boots run away
2532,Each day: caster wakes nearly out of his mind with rage, Casterâ€™s boots seem red-hot to anyone else touching them
2533,Each day: caster wakes thinking that 1d100 days have passed, Casterâ€™s boots sever any feet inside them from the wearerâ€™s leg
2534,Each day: caster wakes thinking that he's under attack, Casterâ€™s boots shine like beacons after twilight
2535,Each day: caster wakes to find a loaf of warm bread on his chest, Casterâ€™s boots shrink in size by Â½
2536,Each day: caster wakes unable to see his allies for 1d4 turns, Casterâ€™s boots smell like carrion
2537,Each day: caster wakes wearing a heavily powdered wig, Casterâ€™s boots smell like fire and brimstone
2538,Each day: caster wakes wearing a straw hat, Casterâ€™s boots smell like lilacs
2539,Each day: caster wakes with a daisy sprouting from his mouth, Casterâ€™s boots smell like skunks
2540,Each day: caster wakes with a gold coin in his mouth, Casterâ€™s boots snuff any fire he steps upon
2541,Each day: caster wakes with a hospital bracelet on his wrist, Casterâ€™s boots suddenly have another pair of feet in them
2542,Each day: caster wakes with his mouth packed full of flour, Casterâ€™s boots take root
2543,Each day: caster wakes with no idea of how he got there, Casterâ€™s boots tickle any feet within them
2544,Each day: caster wakes with several new and disturbing scars, Casterâ€™s boots triple their size
2545,Each day: caster's face is unbearably hideous for 1d10 minutes, Casterâ€™s boots try to walk faster than each other
2546,Each day: caster's hair grows 10% longer, Casterâ€™s boots try to walk in the opposite direction of him
2547,Each day: caster's height fluctuates plus or minus 1d100%, Casterâ€™s boots turn any feet inside them inside out
2548,Each day: caster's height fluctuates plus or minus 1d6 inches, Casterâ€™s boots turn any feet inside them to boots
2549,Each day: caster's home shrinks by 1%, Casterâ€™s boots turn any feet inside them to cloven hooves
2550,Each day: caster's nostrils appear at a new place on his head, Casterâ€™s boots turn any feet inside them to hands
2551,Each day: one of caster's spells (random) has its effect reversed, Casterâ€™s boots turn to bats and fly away
2552,Each day: some part of caster's body falls off and regrows, Casterâ€™s boots turn to beasts and attack his feet
2553,Each day: someone accuses the caster of grand theft, Casterâ€™s boots turn to beets and are eaten by rabbits
2554,Each day: someone accuses the caster of high treason, Casterâ€™s boots turn to belts and constrict around his feet
2555,Each day: someone accuses the caster of unwholesome practices, Casterâ€™s boots turn to boats and sail away
2556,Each day: someone accuses the caster or regicide, Casterâ€™s boots turn to bolts and secure him to the ground
2557,Each day: the caster is praised for some act of amazing heroism, Casterâ€™s boots turn to books about feet
2558,Each hour: 1d4 small pine cones fall from the caster's ears, Casterâ€™s boots turn to feet
2559,Each morning: caster must Save or be rendered mute for that day, Casterâ€™s boots turn to gloves
2560,Each morning: caster must Save or be sprayed by a skunk, Casterâ€™s boots turn to inflexible steel
2561,Each morning: caster must Save or contract a non-magical illness, Casterâ€™s boots turn to paper
2562,Each morning: caster must Save or earn the enmity of a monarch, Casterâ€™s boots turn to tennis shoes
2563,Each morning: caster must Save or he ages 1d4 days, Casterâ€™s boots vanish and reappear: one inside the other
2564,Each morning: caster must Save or he'll be arrested before sunset, Casterâ€™s brain swells; Save vs Death or die (if passed: INT +1)
2565,Each morning: caster must Save or his clothes dissolve by sunset, Casterâ€™s breath coats objects with frost
2566,Each night as caster sleeps: every blade he owns is sharpened, Casterâ€™s breath is misty as in winter whenever he tells a lie
2567,Each night as caster sleeps: he's 5% likely to trigger a Burst, Casterâ€™s breeches become brooches
2568,Each night as caster sleeps: his ankles are bound by silk cord, Casterâ€™s cells become separate: symbiotic micro-organisms
2569,Each night as caster sleeps: his lips move as though he's talking, Casterâ€™s Charisma increases by (18-present CHA)/2
2570,Each of caster's big toes is now as long as the rest of his foot, Casterâ€™s Charisma increases by 3 when naked
2571,Each of caster's big toes is now as wide as the rest of his foot, Casterâ€™s Charisma increases by 6 while he casts spells
2572,Each of caster's teeth is now a different and contrasting color, Casterâ€™s Charisma increases by d6 for d10 days
2573,Each of caster's teeth screams each time he opens his mouth, Casterâ€™s Charisma is increased by 1 for d4 turns
2574,Each of caster's toes is 5% likely to explode right now, Casterâ€™s Charisma is reduced by d6 for d6 days
2575,Eerie moans fill the air when caster touches holy water, Casterâ€™s Charisma is reduced to 3
2576,Efforts to become invisible make the caster much more visible, Casterâ€™s Charisma is rerolled every hour
2577,Efforts to become invisible temporarily age the caster 1d10 years, Casterâ€™s Charisma rises to 19 while in the presence of royalty
2578,Elementals Summoned in caster's presence are 20% larger, Casterâ€™s Charisma tumbles to 2d4 in the presence of royalty
2579,Elementals Summoned in caster's presence are at -2 tohit him, Casterâ€™s circulatory system appears on the surface of his skin
2580,Elementals Summoned in caster's presence are completely silent, Casterâ€™s circulatory system appears to be 5 feet ahead of him
2581,Elementals Summoned in caster's presence are horrible to look at, Casterâ€™s circulatory system is emptied of all contents
2582,Elementals Summoned in caster's presence are invisible to him, Casterâ€™s circulatory system leaps from his body; he is unharmed
2583,Elementals Summoned in caster's presence are invulnerable to him, Casterâ€™s circulatory system seems to be outside of his body
2584,Elementals Summoned in caster's presence are Slowed , Casterâ€™s circulatory system straightens to its full length
2585,Elementals Summoned in caster's presence are terrified of him, Casterâ€™s clavicles become Ethereal
2586,Elementals Summoned in caster's presence assume comical forms, Casterâ€™s cloak becomes a Cloaker
2587,Elementals Summoned in caster's presence attack him outright, Casterâ€™s cloak becomes a clock
2588,Elementals Summoned in caster's presence attack their summoner, Casterâ€™s clothing and/or armor are absorbed into his body
2589,Elementals Summoned in caster's presence can't be controlled, Casterâ€™s clothing animates as a 3HD monster and attacks him
2590,Elementals Summoned in caster's presence crave decaying meat, Casterâ€™s clothing animates when exposed to sunlight
2591,Elementals Summoned in caster's presence explode instantly, Casterâ€™s clothing becomes animated and sentient
2592,Elementals Summoned in caster's presence flee the area at once, Casterâ€™s clothing disintegrates when it is removed
2593,Elementals Summoned in caster's presence look familiar to him, Casterâ€™s clothing fuses into one solid mass as hard as iron
2594,Elementals Summoned in caster's presence mock him endlessly, Casterâ€™s clothing is affected by the spell Timelessness
2595,Elementals Summoned in caster's presence seem far more fierce, Casterâ€™s clothing is Held immobile for 1d100 rounds
2596,Elementals Summoned in caster's presence totally ignore him, Casterâ€™s clothing is suddenly soaked in blood
2597,Elementals Summoned in caster's presence vaguely resemble him, Casterâ€™s clothing is transparent
2598,Elementals Summoned in caster's presence weep until dismissed, Casterâ€™s clothing looks like itâ€™s been shredded
2599,Elementals Summoned in caster's presence will not attack him, Casterâ€™s clothing provides 15% Magic Resistance
2600,Embarrassing rumors about the caster circulate far and wide, Casterâ€™s clothing turns inside out
2601,Embarrassing sounds issue from the caster at inopportune times, Casterâ€™s clothing turns invisible to those of opposite sex
2602,Even in darkness: caster is visible as though in full daylight, Casterâ€™s clothing turns invisible under moonlight
2603,Every third tooth falls from caster's mouth, Casterâ€™s clothing turns invisible when he casts a spell
2604,Everyone knows the caster's most embarrassing secret, Casterâ€™s clothing turns pitch black at twilight
2605,Everyone now harboring ill will toward caster forgets who he is, Casterâ€™s clothing turns to an exquisitely tailored tuxedo
2606,Everyone now harboring ill will toward caster knows where he is, Casterâ€™s clothing turns to cobwebs
2607,Everyone thinks that the caster is using a false name, Casterâ€™s clothing turns to green slime
2608,Everyone thinks that the caster's use of magic is reckless, Casterâ€™s clothing turns to honey
2609,Everyone thinks the caster to be vaguely unreliable, Casterâ€™s clothing turns to ice
2610,Everyone who knows the caster suspects that he's really undead, Casterâ€™s clothing turns to lead
2611,Everyone who knows the caster thinks that he owes them money, Casterâ€™s clothing turns to one-piece full field plate armor
2612,Everyone within 100 miles hates the caster until at least sunset, Casterâ€™s clothing turns to paper
2613,Everyone within 100 miles knows that the caster is a magic user, Casterâ€™s clothing turns to skin
2614,Everyone within one mile appears as a skeleton to the caster, Casterâ€™s clothing turns to snow
2615,Everything caster eats for 1d12 months tastes strongly of blood, Casterâ€™s clothing turns to steam
2616,Fine gold wire is visibly threaded through the caster's flesh, Casterâ€™s clothing turns to stone
2617,Fire-based magic is invisible to the caster, Casterâ€™s clothing turns to tight-fitting chain mail
2618,Fires can't be sustained within three feet of caster's spellbook, Casterâ€™s clothing turns to wood
2619,Flames shoot from caster's ears at least once per hour until dawn, Casterâ€™s coinage assembles into an intricate 3-D collage
2620,Foliage grows to entangle caster's feet if he stands still, Casterâ€™s coinage becomes worthless
2621,Food turns ethereal while the caster touches it, Casterâ€™s coinage teleports into a random allyâ€™s possession
2622,For 1d4 days: caster can neutralize poisons by touch, Casterâ€™s coinage turns invisible
2623,For 1d4 days: caster is certain that his saliva is poisonous, Casterâ€™s consciousness is pushed into the body of a random ally
2624,For 1d4 rounds: caster's left foot is fused to the ground, Casterâ€™s Constitution is increased by 1 for d4 turns
2625,For 1d4 rounds: normal water can burn the caster like strong acid, Casterâ€™s Constitution is reduced by d6 for d6 days
2626,For 1d4 weeks: caster's eyelids glow brightly in the dark, Casterâ€™s current location spouts water for d10 days
2627,For 1d4 weeks: caster's nose hovers 1d4 inches before his face, Casterâ€™s current worst enemy forgives him
2628,For 2d4-1, Casterâ€™s Dexterity increases by 2 when naked
2629,For 3d10 days caster is immune to magic cast by one person, Casterâ€™s Dexterity is increased by 1 for d4 turns
2630,For 6d10 rounds: caster is the only person on the entire planet, Casterâ€™s Dexterity is reduced by d6 for d6 days
2631,For one day: caster is so monstrously ugly that people attack him, Casterâ€™s digestive system fills with air
2632,For one day: caster knows the location of all gold within 5 miles, Casterâ€™s digestive system fills with powdered lead
2633,For several days: caster strongly resembles a drowned corpse, Casterâ€™s digestive system fills with sand
2634,Foul-smelling steam issues from the caster's nostrils, Casterâ€™s digestive tract is emptied of all contents
2635,Half of caster's body is as hairy as an ape, Casterâ€™s digestive tract straightens to its full length
2636,Half of caster's body is immune to polymorph magic, Casterâ€™s dominant hand ages at twice the normal rate
2637,Half of caster's hair is replaced by very fine silver wire, Casterâ€™s dominant hand becomes a foot
2638,Holy symbols inspire dread in the caster, Casterâ€™s dominant hand becomes a wolfâ€™s paw under the full moon
2639,Holy water boils on contact with caster's skin, Casterâ€™s dominant hand becomes an exact copy of his other hand
2640,Honey flows through caster's veins instead of blood, Casterâ€™s dominant hand becomes covered in cellophane
2641,Horrific screams issue from the caster's spellbook, Casterâ€™s dominant hand becomes covered in reptilian scales
2642,Huge volumes of ectoplasm ooze from the caster's nostrils, Casterâ€™s dominant hand becomes Ethereal
2643,Icy winds buffet the caster for 2d8-1 days, Casterâ€™s dominant hand becomes gnarled like an ancient oak
2644,If alive: caster is totally healed in each of the next 1d6 hours, Casterâ€™s dominant hand becomes immune to normal acid
2645,If asked for identification: caster offers a funny self-portrait, Casterâ€™s dominant hand becomes immune to normal cold
2646,If caster attempts a Summoning: he vanishes for its duration, Casterâ€™s dominant hand becomes immune to normal fire
2647,If caster attempts to create or control undead: they attack him, Casterâ€™s dominant hand becomes magnetized
2648,If caster casts a spell in the next turn: he thinks he's drowning, Casterâ€™s dominant hand becomes overly sensitive to heat
2649,If caster casts a spell in the next turn: his clothing vanishes, Casterâ€™s dominant hand becomes paralyzed under the full moon
2650,If caster comes within one mile of a dragon: his hair falls out, Casterâ€™s dominant hand becomes webbed
2651,If caster comes within one mile of an ocean: he begins to drown, Casterâ€™s dominant hand bleeds from beneath its fingernails
2652,If caster damages a statue: he suffers an equivalent injury, Casterâ€™s dominant hand blisters when it touches metal
2653,If caster dies and is resurrected: he's 85% likely to change sex, Casterâ€™s dominant hand burns rapidly when exposed to sunlight
2654,If caster draws a weapon before sunset: he goes berserk, Casterâ€™s dominant hand can be detached at will
2655,If caster draws a weapon before sunset: that weapon vanishes, Casterâ€™s dominant hand can grip with a Strength of 20
2656,If caster falls more than twenty yards: he teleports to this spot, Casterâ€™s dominant hand can handle red-hot metal without injury
2657,If caster has a beard: it vanishes; if he doesn't: he grows one, Casterâ€™s dominant hand can never become dirty
2658,If caster has a missile weapon: he's attacked by small animals, Casterâ€™s dominant hand can no longer wear magical rings
2659,If caster has drawn blood recently: he vanishes until sunrise, Casterâ€™s dominant hand can pick locks with a 50% chance
2660,If caster has eaten in the past hour: he falls unconscious, Casterâ€™s dominant hand can sense magic in any item it handles
2661,If caster has eaten in the past hour: he loses 2d10 hit points, Casterâ€™s dominant hand can store and release one spell at will
2662,If caster has eaten in the past hour: he never has to eat again, Casterâ€™s dominant hand can strike as hard as iron
2663,If caster has eaten in the past hour: he vanishes until lunchtime, Casterâ€™s dominant hand can swing from his wrist like a flail
2664,If caster has eaten meat in the past hour: it was human flesh, Casterâ€™s dominant hand can write in a language unknown to him
2665,If caster has eaten meat in the past hour: it wasn't really meat, Casterâ€™s dominant hand cannot touch or be touched by metal
2666,If caster has ever been resurrected: he loses 1d100 hit points, Casterâ€™s dominant hand detaches and falls to the ground
2667,If caster has ever been resurrected: he now gains one level, Casterâ€™s dominant hand develops a highly sensitive touch
2668,If caster has ever been resurrected: he now loses one level, Casterâ€™s dominant hand doubles in size
2669,If caster has ever been resurrected: he teleports to that spot, Casterâ€™s dominant hand explodes: causing 2d10 points of damage
2670,If caster has slain anyone in cold blood: he's wracked by remorse, Casterâ€™s dominant hand falsely senses magic in items it handles
2671,If caster has slain anyone in cold blood: that person haunts him, Casterâ€™s dominant hand gains an extra joint on each finger
2672,If caster ingests poison: he becomes powerfully addicted to it, Casterâ€™s dominant hand gestures obscenely
2673,If caster ingests poison: he briefly gains 1d4 points of Wisdom, Casterâ€™s dominant hand grows a finger in its palm
2674,If caster ingests poison: he can't be harmed by fire for 1d4 days, Casterâ€™s dominant hand grows a mouth in its palm
2675,If caster ingests poison: he combusts in 1d6 turns, Casterâ€™s dominant hand grows an eyeball in its palm
2676,If caster ingests poison: he develops an intense: unusual phobia, Casterâ€™s dominant hand grows claws in place of fingernails
2677,If caster ingests poison: he develops hundreds of ugly blisters, Casterâ€™s dominant hand halves its size
2678,If caster ingests poison: he forgets his name and how to speak, Casterâ€™s dominant hand inflates to a one-foot diameter
2679,If caster ingests poison: he hallucinates wildly for 2d20 hours, Casterâ€™s dominant hand is affected by Continual Light
2680,If caster ingests poison: he is instantly aware of it, Casterâ€™s dominant hand is affected by Spider Climb
2681,If caster ingests poison: he smells like carrion for 1d4 weeks, Casterâ€™s dominant hand is as durable as a steel gauntlet
2682,If caster ingests poison: he tries to cut it out of his body, Casterâ€™s dominant hand is burned with an imprint of an amulet
2683,If caster ingests poison: he's 20% likely to change sex, Casterâ€™s dominant hand is covered in suggestive tattoos
2684,If caster ingests poison: his age is reduced by 1d20 years, Casterâ€™s dominant hand is detachable
2685,If caster ingests poison: his blood is corrosive to metal, Casterâ€™s dominant hand is impervious to small missile weapons
2686,If caster ingests poison: his body shrinks by 1d100%, Casterâ€™s dominant hand is insulated against electricity
2687,If caster ingests poison: his fingers vanish, Casterâ€™s dominant hand is nowhere to be found
2688,If caster ingests poison: his teeth fall out, Casterâ€™s dominant hand is resistant to cuts and lacerations
2689,If caster ingests poison: its onset is delayed by 1d4 days, Casterâ€™s dominant hand is scarred as though immersed in acid
2690,If caster ingests poison: non-magical antidotes are toxic to him, Casterâ€™s dominant hand knots in pain whenever he casts a spell
2691,If caster ingests poison: someone nearby also suffers its effect, Casterâ€™s dominant hand locks in its current position
2692,If caster is carrying a dagger: it grows as large as a greatsword, Casterâ€™s dominant hand loses all feeling
2693,If caster is carrying a pouch: he attempts to climb into it, Casterâ€™s dominant hand loses all feeling after sunset
2694,If caster is carrying a pouch: he likes to wear it as a hat, Casterâ€™s dominant hand provides normal vision in total darkness
2695,If caster is carrying a pouch: he uses it as a hand-puppet, Casterâ€™s dominant hand radiates magic
2696,If caster is carrying a weapon: it attempts to strike him, Casterâ€™s dominant hand remains dry even when immersed in water
2697,If caster is carrying a weapon: it turns into an umbrella, Casterâ€™s dominant hand resembles a hawkâ€™s talon
2698,If caster is carrying any blades: he throws them in a nearby lake, Casterâ€™s dominant hand resembles a horseâ€™s hoof
2699,If caster is carrying any blades: they're now incredibly sharp, Casterâ€™s dominant hand smolders when he casts a spell
2700,If caster is carrying any bread: it animates and attacks him, Casterâ€™s dominant hand sweats uncontrollably
2701,If caster is carrying any coins: each weighs as much as he does, Casterâ€™s dominant hand tries to strangle him
2702,If caster is carrying any coins: he develops an allergy to gold, Casterâ€™s dominant hand turns invisible to all but him
2703,If caster is carrying any keys: they're all suddenly identical, Casterâ€™s dominant hand turns invisible to him
2704,If caster is carrying any kind of key: it explodes violently, Casterâ€™s dominant hand turns the color of whatever it handles
2705,If caster is carrying any metal: he can't cast magic until dawn, Casterâ€™s dominant hand turns to glass
2706,If caster is carrying any metal: he thinks that he's rusting, Casterâ€™s dominant hand turns to rubber
2707,If caster is carrying any wood: he tries to eat it like a termite, Casterâ€™s dominant hand weighs as much as he does
2708,If caster is carrying any wood: he's attacked by termites, Casterâ€™s dominant hand will not tolerate the wearing of gloves
2709,If caster is carrying food: he becomes violently ill for an hour, Casterâ€™s ears and eyes exchange places
2710,If caster is carrying food: he eats all of it as fast as he can, Casterâ€™s ears exchange places
2711,If caster is carrying food: he's attacked by hungry hungry hippos, Casterâ€™s ears ring whenever someone speaks about him
2712,If caster is carrying food: it's 4X as nutritious as normal food, Casterâ€™s ears seal shut; is 95% deaf
2713,If caster is carrying his spellbook: he teleports 2d4 miles, Casterâ€™s ears turn upside down
2714,If caster is carrying his spellbook: he teleports to his home , Casterâ€™s elbows invert; bend in opposite direction
2715,If caster is carrying his spellbook: he's illiterate for one week, Casterâ€™s entire body appears to throb in time with his heart
2716,If caster is carrying his spellbook: he's reluctant to open it, Casterâ€™s entire body is Withered as cleric spell
2717,If caster is carrying his spellbook: it teleports to his home, Casterâ€™s every sentence triggers some type of cantrip
2718,If caster is carrying his spellbook: it vanishes until dawn, Casterâ€™s eyelashes turn to grass
2719,If caster is hit by a bludgeon: his head resembles a watermelon, Casterâ€™s eyes (sclerae) turn black; pupils turn white
2720,If caster is hit by a bludgeon: his head rings like a bronze gong, Casterâ€™s eyes appear to be two empty sockets
2721,If caster is now at full hit points: he vanishes for 1d12 hours, Casterâ€™s eyes appear to hover about 6 inches in front of him
2722,If caster is now bleeding: he ages 10d10 years, Casterâ€™s eyes become compound like those of a bee
2723,If caster is now bleeding: he attacks his nearest ally, Casterâ€™s eyes become incredibly beautiful but cannot see
2724,If caster is now bleeding: he can never use invisibility magic, Casterâ€™s eyes become invisible for d10 rounds
2725,If caster is now bleeding: he can't be healed before midnight, Casterâ€™s eyes become invisible for d6 days
2726,If caster is now bleeding: he can't use magic for 1d4 days, Casterâ€™s eyes become pearls but retain normal vision
2727,If caster is now bleeding: he can't use magic for 2d12 hours, Casterâ€™s eyes become tiny Beholders
2728,If caster is now bleeding: he changes sex for 1d6 days, Casterâ€™s eyes become two different colors
2729,If caster is now bleeding: he declares war on an imagined enemy, Casterâ€™s eyes bug out comically when he is startled
2730,If caster is now bleeding: he flees at top speed in a panic, Casterâ€™s eyes bulge from his skull like those of a fish
2731,If caster is now bleeding: he gains 10:000, Casterâ€™s eyes change color every time he blinks
2732,If caster is now bleeding: he gains one level, Casterâ€™s eyes dangle from their sockets; vision unaffected
2733,If caster is now bleeding: he loses another 4d10 hit points, Casterâ€™s eyes extend on 12â€ stalks (-1d10 to Charisma)
2734,If caster is now bleeding: he races to the nearest coastline, Casterâ€™s eyes fall out and roll away (regrow in d20 rounds)
2735,If caster is now bleeding: he teleports to his home, Casterâ€™s eyes float one foot above his head; vision unaffected
2736,If caster is now bleeding: he thinks that he's somebody else, Casterâ€™s eyes glow red when he casts a spell
2737,If caster is now bleeding: he's attacked by a shark, Casterâ€™s eyes glow red when he is angry
2738,If caster is now bleeding: he's forever immune to healing magic, Casterâ€™s eyes heal shut; he is blinded (-4 ToHit: -4 AC)
2739,If caster is now bleeding: he's immune to fire magic until sunset, Casterâ€™s eyes merge like that of a cyclops
2740,If caster is now bleeding: he's permanently invisible to goblins, Casterâ€™s eyes open sideways instead of up and down
2741,If caster is now bleeding: he's reduced to just one hit point, Casterâ€™s eyes pop out and roll away
2742,If caster is now bleeding: he's restored to full Health, Casterâ€™s eyes project green light for d4 days
2743,If caster is now bleeding: he's stricken mute until he's healed, Casterâ€™s eyes recede 1â€ into his head; vision works normally
2744,If caster is now bleeding: his blood glows in the dark, Casterâ€™s eyes roll along one foot behind him; vision unaffected
2745,If caster is now bleeding: his blood is flammable for 2d12 hours, Casterâ€™s eyes seem to be aflame when he casts a spell
2746,If caster is now bleeding: his hair grows 8d12, Casterâ€™s eyes spin clockwise for d4 rounds (-1 ToHit)
2747,If caster is now bleeding: his weapon is +4 ToHit for 2d12 hours, Casterâ€™s eyes spin counter-clockwise for d4 rounds (-1 ToHit)
2748,If caster is now bleeding: his weapons vanish until dawn, Casterâ€™s eyes turn to cubes
2749,If caster is now bleeding: is base AC is zero for 1d10 hours, Casterâ€™s eyes turn to ears
2750,If caster is now carrying a waterskin: it can hold 10d10 gallons, Casterâ€™s eyes turn to gold
2751,If caster is now carrying a waterskin: it turns into bagpipes, Casterâ€™s eyes turn to ice
2752,If caster is slain by a metal weapon: he can't be resurrected, Casterâ€™s eyes turn to ivory spheres
2753,If caster is slain by a metal weapon: he'll rises as a zombie, Casterâ€™s eyes turn to mercury
2754,If caster is slain: he awakens the next day fully healed (once), Casterâ€™s eyes turn to mouths
2755,If caster is slain: his killer is 20% likely to take his own life, Casterâ€™s eyes turn to noses
2756,If caster is slain: his killer is universally hailed as a hero, Casterâ€™s eyes turn to obsidian spheres
2757,If caster is slain: his killer receives 100:000 gold pieces, Casterâ€™s eyes turn to opal spheres
2758,If caster is standing near open flame: he tries to extinguish it, Casterâ€™s eyes turn to round rubies
2759,If caster is standing near open flame: he tries to ignite himself, Casterâ€™s eyes turn to spherical mirrors
2760,If caster is struck by an axe: he disgorges a pound of sawdust, Casterâ€™s eyes water uncontrollably
2761,"If caster is struck by an axe: he yells ""timber"" and falls over", Casterâ€™s eyes weep blood when he suffers injury
2762,If caster is usually shy: he becomes very assertive: & vice versa, Casterâ€™s eyes weep tears of blood
2763,If caster is wearing a magic ring: brackish slime oozes from it, Casterâ€™s eyes work as Eyes of the Eagle; +2 to missile attacks
2764,If caster is wearing a magic ring: everyone one nearby hates him, Casterâ€™s eyes: ears: and nose shuffle places
2765,If caster is wearing a magic ring: he acquires a new language, Casterâ€™s eyes: ears: and teeth turn invisible for d6 days
2766,If caster is wearing a magic ring: he acquires an unusual phobia, Casterâ€™s eyeteeth become able to see
2767,If caster is wearing a magic ring: he ages 1d100 years until dawn, Casterâ€™s eyeteeth grow into boarâ€™s tusks
2768,If caster is wearing a magic ring: he ages one year per round, Casterâ€™s face appears to be upside down
2769,If caster is wearing a magic ring: he becomes loudly belligerent, Casterâ€™s familiar adopts another mage as its master
2770,If caster is wearing a magic ring: he becomes nocturnal, Casterâ€™s familiar and random ally of caster exchange bodies
2771,If caster is wearing a magic ring: he can breathe underwater, Casterâ€™s familiar attacks one of casterâ€™s allies at random
2772,If caster is wearing a magic ring: he can't be harmed by ice, Casterâ€™s familiar becomes invisible to him
2773,If caster is wearing a magic ring: he can't Detect Magic, Casterâ€™s familiar doubles in size
2774,If caster is wearing a magic ring: he can't discern True North, Casterâ€™s familiar gains access to a language unknown to caster
2775,If caster is wearing a magic ring: he can't eat while wearing it, Casterâ€™s familiar gains use of the intended spell (1 per day)
2776,If caster is wearing a magic ring: he can't leave this spot, Casterâ€™s familiar gets smart and claims caster as its familiar
2777,If caster is wearing a magic ring: he can't remove it by himself, Casterâ€™s familiar increases in size by a factor of 10
2778,If caster is wearing a magic ring: he can't sit until sunrise, Casterâ€™s familiar is polymorphed into a demihuman (at random)
2779,If caster is wearing a magic ring: he can't sleep for 2d10 days, Casterâ€™s familiar is released from its bond to him
2780,If caster is wearing a magic ring: he can't speak above a whisper, Casterâ€™s familiar is turned to immobile gold statuette
2781,If caster is wearing a magic ring: he can't use it for 1d4 days, Casterâ€™s familiar is turned to mobile gold statuette (alive)
2782,If caster is wearing a magic ring: he can't wear any other rings, Casterâ€™s familiar turns invisible
2783,If caster is wearing a magic ring: he claims to be an impostor, Casterâ€™s feet become cloven hooves
2784,If caster is wearing a magic ring: he claims to be enslaved to it, Casterâ€™s feet covered in adhesive; Movement Rate cut by 3/4
2785,If caster is wearing a magic ring: he claims to be indestructible, Casterâ€™s feet covered in boils and loses 1 HP with each step
2786,If caster is wearing a magic ring: he claims to despise it, Casterâ€™s feet covered in ice; DEX check each round of walking
2787,If caster is wearing a magic ring: he claims to have created it, Casterâ€™s feet enlarge to his full height; Movement Rate is 1
2788,If caster is wearing a magic ring: he claims to have stolen it, Casterâ€™s feet freeze solid: causing 1d10 points of damage
2789,If caster is wearing a magic ring: he decides that he's a god, Casterâ€™s feet grow springs; bounces d4 feet high with each step
2790,If caster is wearing a magic ring: he disgorges a large bell, Casterâ€™s feet turn to wheels
2791,If caster is wearing a magic ring: he disgorges one just like it, Casterâ€™s fingernails become carpenterâ€™s nails
2792,If caster is wearing a magic ring: he feels 1d100Â° colder, Casterâ€™s fingers and toes switch places
2793,If caster is wearing a magic ring: he finds an enormous diamond, Casterâ€™s fingers turn 90Â°; somatic components impossible
2794,If caster is wearing a magic ring: he finds another just like it, Casterâ€™s fingers turn to carrots for d12 turns: no spellcasting
2795,If caster is wearing a magic ring: he forgets how to use it, Casterâ€™s fingers turn to steam for d10 rounds; no spellcasting
2796,If caster is wearing a magic ring: he founds a bizarre cult, Casterâ€™s flesh and clothing become invisible when he is asleep
2797,If caster is wearing a magic ring: he goes insane for 1d4 days, Casterâ€™s flesh and clothing turn invisible
2798,If caster is wearing a magic ring: he grows suspicious of Elves, Casterâ€™s flesh appears slowly to turn inside out
2799,If caster is wearing a magic ring: he hasn't eaten in weeks, Casterâ€™s flesh appears slowly to turn invisible
2800,If caster is wearing a magic ring: he hates to use it indoors, Casterâ€™s flesh appears slowly to turn to stone
2801,If caster is wearing a magic ring: he hates to use it outdoors, Casterâ€™s flesh appears to be a separate entity
2802,If caster is wearing a magic ring: he joins a bizarre cult, Casterâ€™s flesh appears to be attacking everyone else
2803,If caster is wearing a magic ring: he misplaces it, Casterâ€™s flesh appears to be attacking him
2804,If caster is wearing a magic ring: he refuses to speak to Dwarves, Casterâ€™s flesh appears to be infested with maggots
2805,If caster is wearing a magic ring: he regains 2d6 hit points, Casterâ€™s flesh appears to be too large for his body
2806,If caster is wearing a magic ring: he rings like a bell, Casterâ€™s flesh appears to be too small for his body
2807,If caster is wearing a magic ring: he shrinks by 50% until dawn, Casterâ€™s flesh appears to be trying to constrict about him
2808,If caster is wearing a magic ring: he suffers cannibalistic urges, Casterâ€™s flesh appears to be trying to get off of him
2809,If caster is wearing a magic ring: he suspects that it's a fake, Casterâ€™s flesh appears to belong to someone else
2810,If caster is wearing a magic ring: he thinks his allies covet it, Casterâ€™s flesh appears to turn dry and leathery like a mummyâ€™s
2811,If caster is wearing a magic ring: he thinks it's consuming him, Casterâ€™s flesh appears to turn to alligator skin
2812,If caster is wearing a magic ring: he thinks it's controlling him, Casterâ€™s flesh turns invisible whenever he casts a spell
